model_id,seed,learning_rate,train_bs,epochs,weight_decay,warmup_ratio,freeze_layers,dev_f1,dev_p,dev_r,test_f1,test_p,test_r,output_dir
Dr-BERT/DrBERT-7GB,42,2e-05,8,5,0.0,0.0,0,0.7906976744186046,0.7727272727272727,0.8095238095238095,0.71875,0.696969696969697,0.7419354838709677,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep5_wd0.0_wr0.0_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,5,0.0,0.0,2,0.8181818181818182,0.782608695652174,0.8571428571428571,0.6875,0.6666666666666666,0.7096774193548387,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep5_wd0.0_wr0.0_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,5,0.0,0.1,0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8524590163934426,0.8666666666666667,0.8387096774193549,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep5_wd0.0_wr0.1_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,5,0.0,0.1,2,0.6956521739130435,0.64,0.7619047619047619,0.7619047619047619,0.75,0.7741935483870968,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep5_wd0.0_wr0.1_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,5,0.01,0.0,0,0.7555555555555556,0.7083333333333334,0.8095238095238095,0.7999999999999999,0.7647058823529411,0.8387096774193549,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep5_wd0.01_wr0.0_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,5,0.01,0.0,2,0.8181818181818182,0.782608695652174,0.8571428571428571,0.6875,0.6666666666666666,0.7096774193548387,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep5_wd0.01_wr0.0_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,5,0.01,0.1,0,0.8372093023255814,0.8181818181818182,0.8571428571428571,0.8524590163934426,0.8666666666666667,0.8387096774193549,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep5_wd0.01_wr0.1_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,5,0.01,0.1,2,0.6956521739130435,0.64,0.7619047619047619,0.7619047619047619,0.75,0.7741935483870968,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep5_wd0.01_wr0.1_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,10,0.0,0.0,0,0.8372093023255814,0.8181818181818182,0.8571428571428571,0.8709677419354839,0.8709677419354839,0.8709677419354839,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep10_wd0.0_wr0.0_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,10,0.0,0.0,2,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.84375,0.8181818181818182,0.8709677419354839,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep10_wd0.0_wr0.0_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,10,0.0,0.1,0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.7868852459016393,0.8,0.7741935483870968,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep10_wd0.0_wr0.1_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,10,0.0,0.1,2,0.8837209302325582,0.8636363636363636,0.9047619047619048,0.8666666666666666,0.896551724137931,0.8387096774193549,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep10_wd0.0_wr0.1_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,10,0.01,0.0,0,0.8372093023255814,0.8181818181818182,0.8571428571428571,0.8125,0.7878787878787878,0.8387096774193549,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep10_wd0.01_wr0.0_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,10,0.01,0.0,2,0.7906976744186046,0.7727272727272727,0.8095238095238095,0.7419354838709677,0.7419354838709677,0.7419354838709677,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep10_wd0.01_wr0.0_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,10,0.01,0.1,0,0.8837209302325582,0.8636363636363636,0.9047619047619048,0.7575757575757576,0.7142857142857143,0.8064516129032258,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep10_wd0.01_wr0.1_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,8,10,0.01,0.1,2,0.8837209302325582,0.8636363636363636,0.9047619047619048,0.8253968253968254,0.8125,0.8387096774193549,models/sweeps/DrBERT-7GB_lr2e-05_bs8_ep10_wd0.01_wr0.1_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,5,0.0,0.0,0,0.7727272727272727,0.7391304347826086,0.8095238095238095,0.6774193548387096,0.6774193548387096,0.6774193548387096,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep5_wd0.0_wr0.0_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,5,0.0,0.0,2,0.7727272727272727,0.7391304347826086,0.8095238095238095,0.7457627118644068,0.7857142857142857,0.7096774193548387,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep5_wd0.0_wr0.0_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,5,0.0,0.1,0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8852459016393444,0.9,0.8709677419354839,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep5_wd0.0_wr0.1_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,5,0.0,0.1,2,0.8181818181818182,0.782608695652174,0.8571428571428571,0.8387096774193549,0.8387096774193549,0.8387096774193549,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep5_wd0.0_wr0.1_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,5,0.01,0.0,0,0.7727272727272727,0.7391304347826086,0.8095238095238095,0.6774193548387096,0.6774193548387096,0.6774193548387096,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep5_wd0.01_wr0.0_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,5,0.01,0.0,2,0.7727272727272727,0.7391304347826086,0.8095238095238095,0.7457627118644068,0.7857142857142857,0.7096774193548387,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep5_wd0.01_wr0.0_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,5,0.01,0.1,0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8852459016393444,0.9,0.8709677419354839,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep5_wd0.01_wr0.1_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,5,0.01,0.1,2,0.8181818181818182,0.782608695652174,0.8571428571428571,0.8387096774193549,0.8387096774193549,0.8387096774193549,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep5_wd0.01_wr0.1_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,10,0.0,0.0,0,0.8837209302325582,0.8636363636363636,0.9047619047619048,0.746268656716418,0.6944444444444444,0.8064516129032258,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep10_wd0.0_wr0.0_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,10,0.0,0.0,2,0.8444444444444444,0.7916666666666666,0.9047619047619048,0.6875,0.6666666666666666,0.7096774193548387,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep10_wd0.0_wr0.0_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,10,0.0,0.1,0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8125,0.7878787878787878,0.8387096774193549,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep10_wd0.0_wr0.1_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,10,0.0,0.1,2,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8852459016393444,0.9,0.8709677419354839,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep10_wd0.0_wr0.1_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,10,0.01,0.0,0,0.8837209302325582,0.8636363636363636,0.9047619047619048,0.7352941176470588,0.6756756756756757,0.8064516129032258,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep10_wd0.01_wr0.0_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,10,0.01,0.0,2,0.8444444444444444,0.7916666666666666,0.9047619047619048,0.6875,0.6666666666666666,0.7096774193548387,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep10_wd0.01_wr0.0_frz2_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,10,0.01,0.1,0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.7692307692307693,0.7352941176470589,0.8064516129032258,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep10_wd0.01_wr0.1_frz0_sd42
Dr-BERT/DrBERT-7GB,42,2e-05,16,10,0.01,0.1,2,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8852459016393444,0.9,0.8709677419354839,models/sweeps/DrBERT-7GB_lr2e-05_bs16_ep10_wd0.01_wr0.1_frz2_sd42
Dr-BERT/DrBERT-7GB,42,3e-05,8,5,0.0,0.0,0,0.8372093023255814,0.8181818181818182,0.8571428571428571,0.787878787878788,0.7428571428571429,0.8387096774193549,models/sweeps/DrBERT-7GB_lr3e-05_bs8_ep5_wd0.0_wr0.0_frz0_sd42
Dr-BERT/DrBERT-7GB,42,3e-05,8,5,0.0,0.0,2,0.8444444444444444,0.7916666666666666,0.9047619047619048,0.7575757575757576,0.7142857142857143,0.8064516129032258,models/sweeps/DrBERT-7GB_lr3e-05_bs8_ep5_wd0.0_wr0.0_frz2_sd42
Dr-BERT/DrBERT-7GB,42,3e-05,8,5,0.0,0.1,0,0.8837209302325582,0.8636363636363636,0.9047619047619048,0.6666666666666667,0.6896551724137931,0.6451612903225806,models/sweeps/DrBERT-7GB_lr3e-05_bs8_ep5_wd0.0_wr0.1_frz0_sd42
Dr-BERT/DrBERT-7GB,42,3e-05,8,5,0.0,0.1,2,0.8181818181818182,0.782608695652174,0.8571428571428571,0.8709677419354839,0.8709677419354839,0.8709677419354839,models/sweeps/DrBERT-7GB_lr3e-05_bs8_ep5_wd0.0_wr0.1_frz2_sd42
Dr-BERT/DrBERT-7GB,42,3e-05,8,5,0.01,0.0,0,0.8372093023255814,0.8181818181818182,0.8571428571428571,0.8253968253968254,0.8125,0.8387096774193549,models/sweeps/DrBERT-7GB_lr3e-05_bs8_ep5_wd0.01_wr0.0_frz0_sd42
Dr-BERT/DrBERT-7GB,42,3e-05,8,5,0.01,0.0,2,0.8372093023255814,0.8181818181818182,0.8571428571428571,0.7540983606557377,0.7666666666666667,0.7419354838709677,models/sweeps/DrBERT-7GB_lr3e-05_bs8_ep5_wd0.01_wr0.0_frz2_sd42
Dr-BERT/DrBERT-7GB,42,3e-05,8,5,0.01,0.1,0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8709677419354839,0.8709677419354839,0.8709677419354839,models/sweeps/DrBERT-7GB_lr3e-05_bs8_ep5_wd0.01_wr0.1_frz0_sd42
Dr-BERT/DrBERT-7GB,42,3e-05,8,5,0.01,0.1,2,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.819672131147541,0.8333333333333334,0.8064516129032258,models/sweeps/DrBERT-7GB_lr3e-05_bs8_ep5_wd0.01_wr0.1_frz2_sd42
